Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/1_10-5,02/12/2019,snow1-A5,85.924427,113.896223,0.075,0.04,,0.7,,1312,,,
PS122/1_10-5,02/12/2019,snow1-A5,85.924427,113.896223,0.04,0.02,,13.1,,21750,,,
PS122/1_10-5,02/12/2019,snow1-A5,85.924427,113.896223,0.02,0,,16.5,,26930,,,
PS122/1_10-50,05/12/2019,RS-transect-north,86.142113,120.967131,0.09,0.07,,0,,96,,,
PS122/1_10-50,05/12/2019,RS-transect-north,86.142113,120.967131,0.07,0.05,,0.1,,161.2,,,
PS122/1_10-50,05/12/2019,RS-transect-north,86.142113,120.967131,0.11,0.09,,0.2,,441.6,,,
PS122/1_10-70,06/12/2019,snow2-A2,86.140307,122.221844,0.07,0.04,,0,,11.8,,,
PS122/1_10-70,06/12/2019,snow2-A2,86.140307,122.221844,0.1,0.07,,0,,20.4,,,
PS122/1_10-70,06/12/2019,snow2-A2,86.140307,122.221844,0.02,0,,0,,20.8,,,
PS122/1_10-70,06/12/2019,snow2-A2,86.140307,122.221844,0.04,0.02,,0,,29.5,,,
PS122/1_10-70,06/12/2019,snow2-A2,86.140307,122.221844,0.13,0.1,,0.1,,114.3,,,
PS122/1_10-71,06/12/2019,snow1-A3,86.138813,122.290837,0.065,0.035,,12,,19980,,,
PS122/1_10-71,06/12/2019,snow1-A3,86.138813,122.290837,0.04,0.02,,21.9,,34510,,,
PS122/1_10-71,06/12/2019,snow1-A3,86.138813,122.290837,0.02,0,,30.1,,,,,
PS122/1_10-72,06/12/2019,snow3-A6,86.138861,122.294345,0.05,0.02,,7.6,,13260,,,
PS122/1_10-72,06/12/2019,snow3-A6,86.138861,122.294345,0.04,0.02,,10,,17050,,,
PS122/1_10-72,06/12/2019,snow3-A6,86.138861,122.294345,0.02,0,,20.6,,32960,,,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.05,0.02,,0,,7.3,,dO18_0085,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.11,0.08,,0,,10.6,,dO18_0086,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.08,0.05,,0,,13.3,,dO18_0087,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.14,0.11,,0,,25,,dO18_0088,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.23,0.2,,0,,,,dO18_0089,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.2,0.17,,0,,,,dO18_0090,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.17,0.14,,0,,,,dO18_0091,
PS122/1_5-5,28/10/2019,snow1-A1,85.541079,126.483514,0.26,0.23,,0.1,,,,dO18_0092,
PS122/1_6-30,06/11/2019,snow3-A6,85.918749,117.688175,0.06,0.03,,1.2,,2371,,,
PS122/1_6-30,06/11/2019,snow3-A6,85.918749,117.688175,0.03,0,,15,,,,,
